offense_id,incident_id,attempt_complete_flag,location_id,agency_id,incident_date,incident_hour,cleared_except_id,cleared_except_date,,incident_id,offender_id,age,sex_code,Offense- Offense ID,Offense-Incident ID,Offense- Offense Type ID,Offense-Location ID
91350209,83650876,C,21,20475,2/19/2016 0:00,0,2,2/29/2016 0:00,,83650876,94296886,37,M,91350209,83650876,56,21
91352421,83652929,C,13,20475,2/16/2016 0:00,7,4,2/25/2016 0:00,,83652929,94300166,16,M,91352421,83652929,56,13
91352913,83653369,C,41,20475,2/9/2016 0:00,16,2,2/25/2016 0:00,,83653369,94300712,13,M,91352913,83653369,56,41
91735845,83985398,C,20,20058,3/4/2016 0:00,9,6,,,83985398,94687369,36,M,91735845,83985398,56,20
91735717,83986064,C,20,20058,2/2/2016 0:00,10,2,2/22/2016 0:00,,83986064,94687236,44,M,91735717,83986064,56,20
91737817,83987199,C,20,20077,3/9/2016 0:00,0,6,,,83987199,94689367,39,M,91737817,83987199,56,20
91737655,83987889,C,20,20068,3/4/2016 0:00,14,6,,,83987889,94688724,29,M,91737655,83987889,56,20
91739615,83988904,C,20,20079,2/12/2016 0:00,,2,3/3/2016 0:00,,83988904,94690575,9,M,91739615,83988904,56,20
91739512,83989611,C,20,20065,2/6/2016 0:00,11,2,2/16/2016 0:00,,83989611,94690565,35,M,91739512,83989611,56,20
91740563,83989675,C,20,20084,1/30/2016 0:00,,2,3/3/2016 0:00,,83989675,94690683,45,M,91740563,83989675,56,20
91740615,83989714,C,25,20065,2/9/2016 0:00,19,2,3/15/2016 0:00,,83989714,94691225,21,M,91740615,83989714,56,25
91739677,83989726,C,20,20079,2/26/2016 0:00,,2,3/28/2016 0:00,,83989726,94691238,49,M,91739677,83989726,56,20
91742623,83991588,C,18,20091,3/6/2016 0:00,17,2,3/8/2016 0:00,,83991588,94692691,18,M,91742623,83991588,56,18
91743167,83992030,C,20,20097,1/14/2016 0:00,0,6,,,83992030,94694189,30,M,91743167,83992030,56,20
91744343,83992182,C,20,20099,1/1/2016 0:00,0,6,,,83992182,94693944,33,M,91744343,83992182,56,20
,,,,,,,,,,83992182,94693943,74,M,91744343,83992182,56,20
91744705,83992488,C,20,20102,3/1/2016 0:00,11,4,3/1/2016 0:00,,83992488,94695326,14,M,91744705,83992488,56,20
91745107,83993861,C,32,20065,3/7/2016 0:00,20,6,,,83993861,94695741,22,M,91745107,83993861,56,32
91745742,83994826,C,20,20121,2/1/2016 0:00,,6,,,83994826,94697009,32,M,91745742,83994826,56,20
91745929,83995591,C,13,20065,3/13/2016 0:00,3,6,,,83995591,94697570,,M,91745929,83995591,56,13
91749391,83997520,C,3,20065,3/20/2016 0:00,2,6,,,83997520,94700409,25,M,91749391,83997520,56,3
91751297,83998350,A,10,20135,1/12/2016 0:00,20,4,3/11/2016 0:00,,83998350,94701629,43,F,91751297,83998350,56,10
,,,,,,,,,,83998350,94701624,41,M,91751297,83998350,56,10
91754457,84001286,C,20,20144,2/19/2016 0:00,14,6,,,84001286,94705116,31,M,91754457,84001286,56,20
91753889,84001595,C,20,20144,2/19/2016 0:00,13,6,,,84001595,94704963,,,91753889,84001595,56,20
91755146,84001768,C,25,20148,2/1/2016 0:00,8,2,3/25/2016 0:00,,84001768,94706210,34,F,91755146,84001768,56,25
91754713,84002550,C,13,20144,3/10/2016 0:00,15,6,,,84002550,94705368,15,M,91754713,84002550,56,13
91756798,84003767,C,20,20168,2/25/2016 0:00,15,4,3/1/2016 0:00,,84003767,94708436,21,M,91756798,84003767,56,20
91758589,84004477,C,20,20174,3/9/2016 0:00,9,6,,,84004477,94710258,24,M,91758589,84004477,56,20
91758134,84004929,C,41,20148,3/15/2016 0:00,10,6,,,84004929,94708765,13,F,91758134,84004929,56,41
91760675,84006401,C,25,20105,2/10/2016 0:00,6,6,,,84006401,94711471,,U,91760675,84006401,56,25
91762352,84007997,C,20,20105,1/30/2016 0:00,0,4,3/22/2016 0:00,,84007997,94712984,12,M,91762352,84007997,56,20
91762519,84008159,C,20,20105,2/12/2016 0:00,18,4,3/3/2016 0:00,,84008159,94714173,46,M,91762519,84008159,56,20
91762593,84008223,C,20,20105,2/18/2016 0:00,11,6,,,84008223,94714252,9,M,91762593,84008223,56,20
91763004,84009577,C,20,20129,2/7/2016 0:00,11,6,,,84009577,94714671,19,M,91763004,84009577,56,20
91763963,84009787,C,41,20105,2/19/2016 0:00,20,6,,,84009787,94714913,14,M,91763963,84009787,56,41
91764344,84009905,C,20,20105,2/1/2016 0:00,8,6,,,84009905,94715020,,M,91764344,84009905,56,20
91764602,84010109,C,18,20129,2/7/2016 0:00,12,4,3/8/2016 0:00,,84010109,94716262,20,M,91764602,84010109,56,18
91764666,84010164,C,20,20105,2/8/2016 0:00,8,6,,,84010164,94715403,,U,91764666,84010164,56,20
91765387,84011031,C,20,20105,2/22/2016 0:00,11,2,3/3/2016 0:00,,84011031,94715483,63,M,91765387,84011031,56,20
91766351,84011731,C,20,20194,3/5/2016 0:00,9,6,,,84011731,94717005,,U,91766351,84011731,56,20
91766427,84011793,C,20,20203,3/24/2016 0:00,15,6,,,84011793,94717086,44,M,91766427,84011793,56,20
91766521,84012551,C,20,20177,2/7/2016 0:00,14,6,,,84012551,94716033,79,M,91766521,84012551,56,20
